,F1,F2,F3,F4,F5,F6,F7,F8,Class
58,0.35619,0.22594,0.42465,0.48120,0.37428,0.43370,0.56410,0.56573,Yes
59,0.12704,0.18865,0.25069,0.58201,0.47837,0.53627,0.29744,0.37615,Yes
60,0.27308,0.25344,0.39996,0.54579,0.48111,0.51773,0.38205,0.55048,Yes
61,0.37548,0.26551,0.52945,0.60090,0.49612,0.55469,0.44482219318181737,0.60599,Yes
62,0.16504,0.21395,0.34497,0.48349,0.36434,0.43042,0.60256,0.41252,Yes
63,0.35876,0.18618,0.40372,0.52658,0.43332,0.48543,0.31731,0.66137,Yes
64,0.13915,0.22959,0.32907,0.45191,0.35121,0.40717,0.42692,0.52000,Yes
65,0.15586,0.25424,0.38334,0.52587,0.40297,0.47119,0.41795,0.58713,Yes
66,0.19488,0.19183,0.32846,0.42234,0.31322,0.37368,0.44808,0.39787,Yes
67,0.20952,0.20909,0.33204,0.49477,0.38752,0.44715,0.41923,0.47173,Yes
68,0.46804,0.17849,0.49349,0.50043,0.38151,0.44750,0.39551,0.55679,Yes
69,0.30070,0.15948,0.39888,0.48848,0.37682,0.43884,0.37372,0.58121,Yes
70,0.12100,0.27807,0.28317,0.506856929133858,0.39057,0.45172,0.36795,0.39180,Yes
71,0.39887,0.15082,0.44144,0.56342,0.43449,0.50610,0.48077,0.65962,Yes
72,0.17248,0.15020,0.26686,0.36879,0.26255,0.47964188275084574,0.40962,0.33917,Yes
73,0.14635,0.30458,0.34558,0.49401,0.42030,0.46169,0.51987,0.43523,Yes
74,0.11289,0.29804,0.28227,0.45146,0.40359,0.43082,0.65321,0.38576,Yes
75,0.09353,0.21929,0.23873,0.31407,0.30066,0.30879,0.58141,0.22888,Yes
76,0.23191,0.29519,0.41333,0.50131,0.42444,0.46757,0.53077,0.55200,Yes
77,0.2774844730941708,0.33281,0.34744,0.52939,0.44031,0.49016,0.39423,0.54824,Yes
78,0.20637,0.35115,0.42929,0.56208,0.43519,0.50568,0.57500,0.57915,Yes
79,0.09258,0.45828,0.40083,0.50947,0.49066,0.50224,0.43718,0.54160,Yes
80,0.21607,0.20321,0.32196,0.47602,0.36815,0.42807,0.39103,0.48720,Yes
81,0.25090,0.08732,0.23843,0.40080,0.26654,0.34061,0.39744,0.34101,Yes
82,0.19018,0.22629,0.38172,0.46794,0.39544,0.43611,0.51987,0.46301,Yes
83,0.22675,0.20366,0.31606,0.49077,0.36821,0.43616,0.47628,0.47058,Yes
84,0.23467,0.29040,0.40908,0.57867,0.43840,0.51621,0.51859,0.56435,Yes
85,0.11264,0.34848,0.36996,0.50030,0.41574,0.46305,0.48269,0.49867,Yes
86,0.2774844730941708,0.15909,0.40843,0.55687,0.42043,0.49610,0.48333,0.54907,Yes
87,0.23395,0.28951,0.31648,0.45028,0.35200,0.40664,0.32244,0.38708,Yes
88,0.24194,0.18350,0.33041,0.47961,0.39466,0.44213,0.37756,0.5285059502262444,Yes
89,0.19536,0.11316,0.42874215246636765,0.59060,0.37017,0.49161,0.44482219318181737,0.43051,Yes
90,0.20529,0.29188037946428597,0.42370,0.58290,0.48161,0.53824,0.47244,0.55653,Yes
91,0.20671,0.23356,0.40492,0.47859,0.37716,0.43359,0.60256,0.47951,Yes
92,0.34283,0.27273,0.44048,0.46464,0.35265,0.41479,0.30705,0.51106,Yes
93,0.17198,0.27666,0.37784,0.46562,0.36633,0.42156,0.43141,0.46050,Yes
94,0.2774844730941708,0.25934,0.37829,0.47218,0.38098,0.43183,0.54872,0.48722,Yes
95,0.24312,0.29188037946428597,0.40042,0.50822,0.37319,0.44797,0.35833,0.52345,Yes
96,0.25032,0.25814,0.39570,0.31831,0.34741,0.33243,0.34295,0.5285059502262444,Yes
97,0.30214,0.25885,0.50478,0.47470,0.40796,0.44551,0.66731,0.55065,Yes
98,0.23696,0.45261,0.50174,0.55086,0.47357,0.51706,0.57115,0.56746,Yes
